Sample	Bacillota	Actinomycetota	Pseudomonadota	Chordata	Uroviricota	Other	Unclassified
SRR11605259	6926628.0	20.0	258.0	144.0	8.0	5451.0	41600.0
SRR11605260	7536323.0	82.0	178.0	132.0	17.0	5579.0	46647.0
SRR11605261	6188207.0	12994.0	1031.0	19.0	39.0	6482.0	34057.0
SRR11605262	913132.0	56113.0	93849.0	27369.0	27.0	403483.0	3931462.0
SRR11605263	4907745.0	2410276.0	3119.0	10.0	3.0	138330.0	34072.0
SRR11605264	8929958.0	462.0	2693.0	663.0	411.0	11479.0	93748.0
SRR11605265	5620134.0	300.0	1290.0	0.0	37.0	5929.0	74277.0
SRR11605266	7216443.0	4177.0	36525.0	675.0	12524.0	14858.0	111568.0
SRR11605267	4521886.0	1011.0	8577.0	602.0	150.0	9181.0	90531.0
SRR11605268	4975493.0	1375.0	7168.0	346.0	33.0	7444.0	49165.0
SRR11605269	4213632.0	306405.0	2671.0	3415.0	203.0	41318.0	147321.0
SRR11605270	6938785.0	623753.0	101.0	26.0	6.0	51025.0	43686.0
SRR11605271	3222423.0	3484920.0	604.0	63.0	7.0	141941.0	48991.0
SRR11605272	6838148.0	97.0	420.0	182.0	26.0	5673.0	46240.0
SRR11605273	7111635.0	290.0	418.0	172.0	2.0	7705.0	41688.0
SRR11605274	6011533.0	357.0	1070.0	172.0	7.0	7987.0	38070.0
